Code,Seat,County,Population,Land area (km2),Density (people/km2),Municipality,Average_age,Latitude,Longitude,pharmacy_count
1473,Töreboda,Västra Götaland County,8972,539.85,16.62,Toreboda,44.9,58.67552915,14.1232586330159,0
1485,Uddevalla,Västra Götaland County,52886,637.69,82.93,Uddevalla,41.8,58.3490555,11.9382855,6
1491,Ulricehamn,Västra Götaland County,23127,1046.02,22.11,Ulricehamn,43.5,57.81121745,13.444322002103,1
2480,Umeå,Västerbotten County,118034,2316.61,50.95,Umea,38.9,63.8256568,20.2630745,6
114,Upplands Väsby,Stockholm County,41380,75.09,551.07,Upplands Vasby,39.3,59.5166933,17.9156599506728,35
139,Kungsängen,Stockholm County,24569,235.47,104.34,Upplands-Bro,38.2,59.4786677,17.7511698,17
380,Uppsala,Uppsala County,204639,2182.80,93.75,Uppsala,38.9,59.8586126,17.6387436,25
760,Åseda,Kronoberg County,9226,1171.88,7.87,Uppvidinge,43.4,57.1691268,15.3525029,1
584,Vadstena,Östergötland County,7367,181.91,40.50,Vadstena,48.4,58.4322624,14.7814520469689,1
665,Vaggeryd and Skillingaryd,Jönköping County,13193,824.94,15.99,Vaggeryd,40.9,57.47743865,14.1758849822035,1
563,Valdemarsvik,Östergötland County,7604,733.82,10.36,Valdemarsvik,47.5,58.1901051,16.9679611722344,0
115,Vallentuna,Stockholm County,31523,358.36,87.96,Vallentuna,39.0,59.58499595,18.2212196710046,3
2021,Vansbro,Dalarna County,6735,1539.57,4.37,Vansbro,45.6,60.4610572,14.2598014295351,0
1470,Vara,Västra Götaland County,15637,696.93,22.44,Vara,43.8,58.24902655,13.1016812262229,1
1383,Varberg,Halland County,59779,868.71,68.81,Varberg,43.3,57.1057412,12.2502949,6
187,Vaxholm,Stockholm County,11196,57.88,193.43,Vaxholm,42.1,59.40127525,18.290151025552,16
1233,Vellinge,Skåne County,33806,142.61,237.05,Vellinge,42.9,55.322806,12.8048850146406,2
685,Vetlanda,Jönköping County,26362,1500.51,17.57,Vetlanda,43.4,57.36554305,15.1678305050662,4
2462,Vilhelmina,Västerbotten County,6924,8047.87,0.86,Vilhelmina,45.0,64.91330775,16.0788382429556,0
884,Vimmerby,Kalmar County,15315,1140.23,13.43,Vimmerby,44.2,57.678134,15.7917231663924,1
2404,Vindeln,Västerbotten County,5330,2629.37,2.03,Vindeln,45.5,64.3968771,19.5400727315435,0
428,Vingåker,Södermanland County,8818,370.27,23.82,Vingaker,44.4,59.06618905,15.8962241189295,1
1442,Vårgårda,Västra Götaland County,11066,426.60,25.94,Vargarda,41.4,57.98555495,12.7611399445758,0
1487,Vänersborg,Västra Götaland County,37240,642.70,57.94,Vanersborg,42.6,58.3811988,12.3226877,9
2460,Vännäs,Västerbotten County,8578,529.49,16.20,Vannas,41.6,63.936088,19.6968067804098,0
120,Gustavsberg,Stockholm County,39757,448.03,88.74,Varmdo,39.9,59.3256235,18.388514,14
683,Värnamo,Jönköping County,33057,1216.00,27.19,Varnamo,42.4,57.1832783,14.0483437,0
883,Västervik,Kalmar County,35814,1871.56,19.14,Vastervik,46.3,57.7594186,16.6385035,4
1980,Västerås,Västmanland County,141845,957.89,148.08,Vasteras,41.0,59.6110992,16.5463679,12
780,Växjö,Kronoberg County,85635,1665.51,51.42,Vaxjo,39.8,56.8787183,14.8094385,11
512,Österbymo,Östergötland County,3590,675.42,5.32,Ydre,46.8,57.8247951,15.2753967,0
1286,Ystad,Skåne County,28593,350.08,81.68,Ystad,45.8,55.4329849,13.8196555,3
1492,Åmål,Västra Götaland County,12203,481.12,25.36,Amal,45.1,58.96628125,12.6126795109949,1
2260,Ånge,Västernorrland County,9582,3051.36,3.14,Ange,46.6,62.47383605,15.6411380049146,0
2321,Järpen,Jämtland County,10378,7199.45,1.44,Are,40.1,63.348376,13.4636687,0
1765,Årjäng,Värmland County,9870,1409.47,7.00,Arjang,44.3,59.4514504,12.0187866608342,1
2463,Åsele,Västerbotten County,2887,4223.79,0.68,Asele,47.5,64.21110665,17.6020847808251,0
1277,Åstorp,Skåne County,14896,92.22,161.53,Astorp,39.7,56.1351211,12.9462464,4
561,Åtvidaberg,Östergötland County,11456,686.62,16.68,Atvidaberg,45.0,58.2173363,16.140217486292,0
765,Älmhult,Kronoberg County,15759,890.78,17.69,Almhult,40.9,56.59814705,14.1144166826747,3
2039,Älvdalen,Dalarna County,7086,6871.51,1.03,alvdalen,46.5,61.6509089,12.9030942040822,0
319,Skutskär,Uppsala County,9161,214.98,42.61,alvkarleby,43.9,60.6352228,17.4092868,1
2560,Älvsbyn,Norrbotten County,8182,1698.04,4.82,alvsbyn,44.8,65.7580276,20.6492633118099,0
1292,Ängelholm,Skåne County,39821,420.06,94.80,Angelholm,43.7,56.2429224,12.8619375,4
1407,Öckerö,Västra Götaland County,12559,25.74,487.92,Ockero,44.7,57.7265248,11.4231638877881,0
509,Ödeshög,Östergötland County,5192,430.42,12.06,Odeshog,45.1,58.21775955,14.6510927953134,0
1880,Örebro,Örebro County,140295,1373.15,102.17,Orebro,39.6,59.2747287,15.2151181,10
1257,Örkelljunga,Skåne County,9658,319.55,30.22,Orkelljunga,43.8,56.30983835,13.3558123702412,1
